value,variants
Afghani,Afghani | Afghan
African,African 
American,American
Andhra,Andhra
Arabian,Arabian
Armenian,Armenian
Asian,Asian
Assamese,Assamese
Awadhi,Awadhi
Bakery,Bakery|cake
Bengali,Bengali
Beverages,Beverages
Biryani,Biryani
British,British
Burger,Burger
Bar Food,Bar Food
Burmese,Burmese
Cafe,Cafe
Chettinad,Chettinad
Chinese,Chinese
Continental,Continental
Desserts,Desserts
European,European
Fast Food,Fast Food
Finger Food,Finger Food
French,French
German,German
Goan,Goan
Greek,Greek
Gujarati,Gujarati
Healthy Food,Healthy Food
Hyderabadi,Hyderabadi
Ice Cream,Ice Cream
Indian,Indian
Indonesian,Indonesian
Iranian,Iranian
Japanese,Japanese
Juices,Juices
Kashmiri,Kashmiri
Kerala,Kerala
Konkan,Konkan
Korean,Korean
Lebanese,Lebanese
Lucknowi,Lucknowi
Maharashtrian,Maharashtrian
Malaysian,Malaysian
Malwani,Malwani
Mangalorean,Mangalorean
Mediterranean,Mediterranean
Mexican,Mexican
Middle Eastern,Middle Eastern
Moroccan,Moroccan
Mughlai,Mughlai
North Indian,North Indian
Oriya,Oriya
Panini,Panini
Parsi,Parsi
Pizza,Pizza
Rajasthani,Rajasthani
Raw Meats,Raw Meats
Russian,Russian
Seafood,Seafood
Singaporean,Singaporean
South American,South American
South Indian,South Indian
Spanish,Spanish
Street Food,Street Food
Sushi,Sushi
Tex-Mex,Tex-Mex
Thai,Thai
Tibetan,Tibetan
Turkish,Turkish
Vietnamese,Vietnamese
Italian,Italian
Fast Food,Fast Food
Dessert,Dessert
Others,Others
Punjabi,Punjabi | Punjab
Coffee and tea,Coffee and Tea
Oriental,Oriental
Nepalese,Nepalese
Portuguese,Portuguese
Others,Others